ORIGIN_AIRPORT_ID,NAME,AIRCRAFT_TYPE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",35.0,3.0,9.0,3.0,5.0,9.0,18.0,17.0,12.0,11.0,2.0,4.0,,93.0
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",40.0,13.0,7.0,16.0,14.0,23.0,26.0,33.0,33.0,17.0,16.0,13.0,18.0,229.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",530.0,2.0,,22.0,27.0,26.0,29.0,31.0,24.0,8.0,,1.0,1.0,171.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",629.0,127.0,100.0,135.0,134.0,140.0,91.0,61.0,94.0,59.0,92.0,87.0,80.0,1200.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",631.0,14.0,11.0,17.0,30.0,37.0,44.0,29.0,10.0,4.0,16.0,72.0,34.0,318.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",638.0,99.0,79.0,126.0,143.0,175.0,165.0,186.0,202.0,164.0,219.0,171.0,204.0,1933.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",675.0,3.0,9.0,28.0,18.0,27.0,56.0,60.0,55.0,39.0,55.0,29.0,27.0,406.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",694.0,48.0,70.0,107.0,107.0,111.0,143.0,156.0,118.0,60.0,97.0,100.0,98.0,1215.0
10136,"Abilene, TX: Abilene Regional",614.0,1.0,1.0,,1.0,3.0,4.0,3.0,6.0,,,1.0,,20.0
10136,"Abilene, TX: Abilene Regional",629.0,32.0,22.0,51.0,49.0,49.0,58.0,51.0,62.0,56.0,1.0,,,431.0
10136,"Abilene, TX: Abilene Regional",673.0,4.0,2.0,2.0,4.0,7.0,5.0,3.0,11.0,2.0,1.0,3.0,1.0,45.0
10136,"Abilene, TX: Abilene Regional",675.0,81.0,66.0,119.0,120.0,145.0,174.0,182.0,174.0,164.0,162.0,162.0,172.0,1721.0
10136,"Abilene, TX: Abilene Regional",676.0,40.0,30.0,23.0,22.0,12.0,16.0,19.0,6.0,,,,,168.0
10139,"Ambler, AK: Ambler River",194.0,1.0,5.0,4.0,2.0,4.0,5.0,11.0,2.0,2.0,2.0,6.0,,44.0
10139,"Ambler, AK: Ambler River",412.0,1.0,,1.0,,,,1.0,,,,,,3.0
10139,"Ambler, AK: Ambler River",415.0,49.0,36.0,47.0,52.0,60.0,63.0,52.0,55.0,60.0,64.0,56.0,45.0,639.0
10140,"Albuquerque, NM: Albuquerque International Sunport",458.0,63.0,57.0,71.0,71.0,72.0,70.0,75.0,76.0,70.0,75.0,73.0,71.0,844.0
10140,"Albuquerque, NM: Albuquerque International Sunport",479.0,41.0,12.0,30.0,32.0,28.0,33.0,41.0,44.0,47.0,40.0,45.0,51.0,444.0
10140,"Albuquerque, NM: Albuquerque International Sunport",612.0,258.0,188.0,313.0,281.0,279.0,340.0,357.0,361.0,367.0,449.0,380.0,380.0,3953.0
10140,"Albuquerque, NM: Albuquerque International Sunport",614.0,86.0,81.0,133.0,175.0,173.0,288.0,317.0,310.0,311.0,423.0,356.0,334.0,2987.0
10140,"Albuquerque, NM: Albuquerque International Sunport",629.0,25.0,15.0,58.0,52.0,32.0,57.0,92.0,125.0,97.0,78.0,88.0,64.0,783.0
10140,"Albuquerque, NM: Albuquerque International Sunport",631.0,78.0,72.0,36.0,3.0,,81.0,118.0,89.0,75.0,85.0,50.0,68.0,755.0
10140,"Albuquerque, NM: Albuquerque International Sunport",634.0,1.0,1.0,9.0,8.0,5.0,2.0,11.0,11.0,10.0,10.0,14.0,12.0,94.0
10140,"Albuquerque, NM: Albuquerque International Sunport",638.0,26.0,22.0,88.0,108.0,194.0,156.0,156.0,96.0,49.0,8.0,73.0,42.0,1018.0
10140,"Albuquerque, NM: Albuquerque International Sunport",673.0,381.0,338.0,439.0,506.0,457.0,344.0,362.0,430.0,443.0,313.0,348.0,307.0,4668.0
10140,"Albuquerque, NM: Albuquerque International Sunport",675.0,32.0,37.0,19.0,60.0,70.0,90.0,60.0,85.0,90.0,92.0,65.0,61.0,761.0
10140,"Albuquerque, NM: Albuquerque International Sunport",694.0,12.0,5.0,5.0,13.0,18.0,91.0,75.0,62.0,61.0,88.0,108.0,109.0,647.0
