ORIGIN_AIRPORT_ID,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
11630,"Fairbanks, AK: Fairbanks International",20333.0,Wright Air Service,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,4.0,1.0,,1.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,27.0
13292,"Minchumina, AK: Minchumina Airport",20333.0,Wright Air Service,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,3.0,1.0,,1.0,2.0,3.0,2.0,,2.0,1.0,2.0,2.0,19.0
15124,"Tanana, AK: Ralph M Calhoun Memorial",20333.0,Wright Air Service,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,1.0,,,,,,,,1.0,,,,2.0
12321,"Iliamna, AK: Iliamna Airport",20346.0,Iliamna Air Taxi,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,3.0,,1.0,6.0,1.0,4.0,3.0,1.0,3.0,3.0,,25.0
12748,"Kokhanok, AK: Kokhanok Airport",20346.0,Iliamna Air Taxi,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,1.0,,,1.0,,,,1.0,,,,3.0
13715,"Nondalton, AK: Nondalton Airport",20346.0,Iliamna Air Taxi,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,1.0,,1.0,,,,,,1.0,,,3.0
14046,"Pedro Bay, AK: Pedro Bay Airport",20346.0,Iliamna Air Taxi,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,1.0,,1.0,5.0,1.0,3.0,2.0,,1.0,2.0,,16.0
11214,"Coldfoot, AK: Coldfoot Airport",20333.0,Wright Air Service,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,,,,,,,1.0,,,,,1.0
11833,"Fort Yukon, AK: Fort Yukon Airport",20333.0,Wright Air Service,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,,,,,,,,1.0,,,,1.0
10299,"Anchorage, AK: Ted Stevens Anchorage International",20346.0,Iliamna Air Taxi,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,,,,,,,,,1.0,,,1.0
14268,"Port Alsworth, AK: Port Alsworth Airport",20346.0,Iliamna Air Taxi,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,,,,,,,,,1.0,1.0,,2.0
15061,"Stevens Village, AK: Stevens Village Airport",20333.0,Wright Air Service,10,Beech Bonanza 35A/C/D/E/G/H/J/K/S/V/  36A,,,,,,,,,,,,1.0,1.0
10405,"Atmautluak, AK: Atmautluak Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,15.0,12.0,16.0,13.0,17.0,18.0,9.0,17.0,21.0,33.0,23.0,26.0,220.0
10416,"Alakanuk, AK: Alakanuk Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,73.0,30.0,83.0,98.0,104.0,103.0,119.0,112.0,118.0,112.0,81.0,78.0,1111.0
10551,"Bethel, AK: Bethel Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,135.0,106.0,271.0,222.0,274.0,307.0,324.0,280.0,257.0,303.0,164.0,281.0,2924.0
11227,"Chefornak, AK: Chefornak Airport",20455.0,Grant Aviation,26,Gipps Aero Ga8 Airvan,7.0,14.0,21.0,40.0,53.0,55.0,72.0,54.0,32.0,49.0,25.0,27.0,449.0
