ORIGIN_AIRPORT_ID,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10042,"Kiluda Bay, AK: Kiluda Bay Airport",20443.0,Island Air Service,33.0,0.0,,,,,,,,,,,,0.0
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",20443.0,Island Air Service,33.0,0.0,1.0,2.0,2.0,1.0,2.0,5.0,,3.0,1.0,3.0,3.0,23.0
10056,"Kodiak Island, AK: Trident Basin Seaplane Base",20443.0,Island Air Service,40.0,3.0,10.0,13.0,20.0,39.0,75.0,81.0,,24.0,15.0,9.0,5.0,294.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",19790.0,Delta Air Lines Inc.,608.0,2422.0,2759.0,2877.0,2818.0,704.0,2917.0,2908.0,2890.0,2397.0,2953.0,2566.0,2039.0,30250.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20046.0,Air Wisconsin Airlines Corp,629.0,650.0,,,87.0,2199.0,3161.0,3401.0,3201.0,291.0,1723.0,,,14713.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20304.0,SkyWest Airlines Inc.,629.0,3146.0,2867.0,3599.0,5808.0,3294.0,3631.0,3169.0,3616.0,4200.0,3700.0,2824.0,2194.0,42048.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,631.0,53.0,,40.0,69.0,,,68.0,271.0,,69.0,63.0,,633.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20363.0,Endeavor Air Inc.,638.0,2492.0,2091.0,3582.0,3463.0,4788.0,3573.0,3365.0,3631.0,3529.0,3461.0,3367.0,3615.0,40957.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20366.0,ExpressJet Airlines LLC d/b/a aha!,629.0,1268.0,1670.0,2040.0,,,,,,,,,,4978.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20368.0,Allegiant Air,694.0,7838.0,8445.0,9998.0,12456.0,9933.0,10646.0,12105.0,12351.0,6144.0,8846.0,8466.0,10627.0,117855.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20368.0,Allegiant Air,698.0,1146.0,2713.0,5872.0,3278.0,3999.0,7387.0,8649.0,5710.0,2688.0,3831.0,3963.0,3326.0,52562.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20397.0,PSA Airlines Inc.,638.0,5351.0,5187.0,5201.0,5137.0,3394.0,4924.0,4938.0,4811.0,4639.0,5073.0,4524.0,5054.0,58233.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20427.0,Piedmont Airlines,675.0,2522.0,2422.0,2495.0,4172.0,3018.0,3429.0,4046.0,3749.0,3228.0,3569.0,3164.0,3034.0,38848.0
10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",20452.0,Republic Airline,673.0,73.0,,,,,57.0,,75.0,42.0,,,76.0,323.0
10136,"Abilene, TX: Abilene Regional",20398.0,Envoy Air,675.0,1329.0,1322.0,1393.0,1503.0,1823.0,1630.0,3039.0,3270.0,1634.0,1341.0,1776.0,1976.0,22036.0
10136,"Abilene, TX: Abilene Regional",20398.0,Envoy Air,676.0,4359.0,4204.0,4699.0,4761.0,5418.0,5535.0,4624.0,4163.0,5393.0,5993.0,5132.0,4858.0,59139.0
10139,"Ambler, AK: Ambler River",20331.0,Bering Air Inc.,194.0,11.0,,6.0,7.0,17.0,8.0,13.0,12.0,,,7.0,5.0,86.0
10139,"Ambler, AK: Ambler River",20331.0,Bering Air Inc.,415.0,242.0,147.0,198.0,142.0,173.0,192.0,154.0,171.0,226.0,191.0,171.0,225.0,2232.0
10139,"Ambler, AK: Ambler River",20336.0,Hageland Aviation Service,194.0,49.0,6.0,15.0,28.0,2.0,44.0,19.0,20.0,21.0,17.0,16.0,17.0,254.0
10139,"Ambler, AK: Ambler River",20336.0,Hageland Aviation Service,405.0,0.0,,,,,,,,,,,,0.0
10139,"Ambler, AK: Ambler River",20336.0,Hageland Aviation Service,416.0,91.0,52.0,92.0,137.0,163.0,77.0,95.0,94.0,63.0,110.0,88.0,93.0,1155.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19393.0,Southwest Airlines Co.,612.0,70101.0,67198.0,89555.0,84304.0,90940.0,96174.0,95701.0,104373.0,96884.0,96783.0,89556.0,98024.0,1079593.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19393.0,Southwest Airlines Co.,614.0,15022.0,13040.0,16300.0,23041.0,28717.0,25458.0,25308.0,12876.0,15861.0,31008.0,18883.0,19643.0,245157.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19393.0,Southwest Airlines Co.,838.0,2877.0,1844.0,2051.0,,,,,,,,,,6772.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19687.0,Horizon Air,673.0,2603.0,1526.0,572.0,,,,,315.0,1746.0,787.0,219.0,,7768.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,614.0,152.0,,3262.0,3930.0,7841.0,8141.0,8302.0,7381.0,3257.0,2775.0,2730.0,572.0,48343.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,656.0,1673.0,,,,,136.0,,92.0,,,,145.0,2046.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,698.0,1833.0,2158.0,130.0,,,,,,,,,340.0,4461.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19790.0,Delta Air Lines Inc.,888.0,6541.0,7276.0,9471.0,9972.0,10536.0,13435.0,14555.0,13634.0,13427.0,15697.0,11304.0,11231.0,137079.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19805.0,American Airlines Inc.,614.0,18074.0,17557.0,20587.0,19326.0,29465.0,29429.0,30164.0,29110.0,32468.0,31780.0,29235.0,28583.0,315778.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19805.0,American Airlines Inc.,655.0,801.0,128.0,130.0,,139.0,2768.0,3799.0,3898.0,372.0,,,,12035.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,612.0,219.0,,,,122.0,,,,,,,,341.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,614.0,1697.0,2264.0,768.0,,,117.0,,,,,,124.0,4970.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,634.0,260.0,148.0,162.0,,,,118.0,,,,,,688.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19930.0,Alaska Airlines Inc.,888.0,1460.0,747.0,515.0,,,,,,,,75.0,,2797.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,612.0,155.0,202.0,373.0,126.0,,779.0,108.0,709.0,3211.0,1142.0,,,6805.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,614.0,2536.0,3948.0,821.0,3274.0,779.0,741.0,,689.0,,7206.0,776.0,2021.0,22791.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,694.0,1041.0,709.0,3007.0,1039.0,548.0,750.0,405.0,151.0,596.0,2387.0,3913.0,1101.0,15647.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,698.0,441.0,284.0,2922.0,5729.0,2574.0,4720.0,5258.0,3341.0,1917.0,5277.0,2972.0,992.0,36427.0
10140,"Albuquerque, NM: Albuquerque International Sunport",19977.0,United Air Lines Inc.,888.0,126.0,1650.0,1221.0,744.0,5129.0,1125.0,127.0,125.0,322.0,1200.0,667.0,533.0,12969.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20237.0,Trans States Airlines,675.0,2082.0,1226.0,157.0,1095.0,97.0,80.0,392.0,161.0,64.0,,0.0,1215.0,6569.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20304.0,SkyWest Airlines Inc.,629.0,288.0,,278.0,2416.0,1676.0,2319.0,1308.0,1582.0,2095.0,2146.0,,734.0,14842.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20304.0,SkyWest Airlines Inc.,631.0,2125.0,3233.0,5474.0,5142.0,5694.0,5676.0,5781.0,4863.0,3743.0,6113.0,5608.0,4656.0,58108.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20304.0,SkyWest Airlines Inc.,673.0,5427.0,4123.0,6734.0,7861.0,9877.0,14072.0,14966.0,12949.0,10977.0,10444.0,14097.0,15803.0,127330.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20366.0,ExpressJet Airlines LLC d/b/a aha!,675.0,2038.0,1341.0,3079.0,222.0,123.0,480.0,663.0,892.0,887.0,644.0,1104.0,955.0,12428.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20368.0,Allegiant Air,698.0,2029.0,1582.0,2641.0,2192.0,2486.0,2242.0,2476.0,1974.0,1115.0,2054.0,2109.0,2248.0,25148.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20378.0,Mesa Airlines Inc.,638.0,9532.0,9482.0,12100.0,11096.0,11903.0,9186.0,9038.0,8143.0,5505.0,7187.0,5654.0,5194.0,104020.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20378.0,Mesa Airlines Inc.,673.0,4008.0,2863.0,4650.0,2641.0,1661.0,2155.0,2636.0,2772.0,5208.0,3483.0,4449.0,4237.0,40763.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20398.0,Envoy Air,631.0,1180.0,2075.0,3603.0,3579.0,239.0,,,,,,,,10676.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20398.0,Envoy Air,673.0,4.0,112.0,93.0,,,,,,,,216.0,73.0,498.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20409.0,JetBlue Airways,694.0,2343.0,2385.0,3400.0,2894.0,3639.0,4271.0,4203.0,3978.0,3180.0,2558.0,3154.0,3311.0,39316.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20409.0,JetBlue Airways,699.0,195.0,132.0,159.0,,,,,,,2134.0,,,2620.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20436.0,Frontier Airlines Inc.,694.0,278.0,531.0,770.0,327.0,1174.0,,,272.0,,,,,3352.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20436.0,Frontier Airlines Inc.,699.0,171.0,,,,,221.0,,132.0,,,,,524.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20436.0,Frontier Airlines Inc.,722.0,937.0,895.0,664.0,972.0,800.0,1353.0,1906.0,484.0,134.0,350.0,141.0,,8636.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20452.0,Republic Airline,673.0,807.0,1374.0,799.0,223.0,3499.0,766.0,431.0,1525.0,193.0,,55.0,763.0,10435.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20452.0,Republic Airline,677.0,248.0,842.0,2078.0,276.0,1210.0,1557.0,1565.0,1017.0,73.0,162.0,,744.0,9772.0
10140,"Albuquerque, NM: Albuquerque International Sunport",20500.0,GoJet Airlines LLC d/b/a United Express,631.0,2599.0,1074.0,273.0,272.0,322.0,917.0,1696.0,1000.0,66.0,875.0,3020.0,1114.0,13228.0
10140,"Albuquerque, NM: Albuquerque International Sunport",21167.0,Compass Airlines,673.0,9390.0,9116.0,11812.0,10809.0,12056.0,12756.0,14265.0,13578.0,15406.0,13913.0,7117.0,6843.0,137061.0
10140,"Albuquerque, NM: Albuquerque International Sunport",21599.0,Boutique Air,479.0,267.0,228.0,239.0,266.0,259.0,235.0,259.0,296.0,260.0,282.0,251.0,251.0,3093.0
10140,"Albuquerque, NM: Albuquerque International Sunport",21894.0,"ADVANCED AIR, LLC",458.0,244.0,307.0,374.0,352.0,360.0,381.0,317.0,344.0,344.0,384.0,330.0,374.0,4111.0
10141,"Aberdeen, SD: Aberdeen Regional",20304.0,SkyWest Airlines Inc.,629.0,2274.0,2071.0,2196.0,2127.0,2500.0,2234.0,2535.0,2340.0,2305.0,2699.0,2724.0,2605.0,28610.0
10146,"Albany, GA: Southwest Georgia Regional",20304.0,SkyWest Airlines Inc.,629.0,3129.0,3042.0,3646.0,3466.0,3701.0,3696.0,3505.0,3322.0,3139.0,3728.0,3348.0,3554.0,41276.0
10154,"Nantucket, MA: Nantucket Memorial",20253.0,Cape Air,125.0,1672.0,1365.0,1668.0,1929.0,3241.0,4425.0,5746.0,5418.0,5306.0,3208.0,2247.0,2716.0,38941.0
10154,"Nantucket, MA: Nantucket Memorial",21964.0,"Rectrix Aviation, Inc.",458.0,740.0,590.0,800.0,801.0,991.0,918.0,1002.0,1097.0,892.0,824.0,598.0,0.0,9253.0
10155,"Waco, TX: Waco Regional",20304.0,SkyWest Airlines Inc.,673.0,60.0,,,,,,,,,,,,60.0
10155,"Waco, TX: Waco Regional",20378.0,Mesa Airlines Inc.,673.0,33.0,,0.0,,,,,,,,0.0,,33.0
10155,"Waco, TX: Waco Regional",20398.0,Envoy Air,675.0,247.0,409.0,1002.0,1977.0,545.0,614.0,2406.0,2337.0,470.0,251.0,823.0,754.0,11835.0
10155,"Waco, TX: Waco Regional",20398.0,Envoy Air,676.0,3301.0,3158.0,3353.0,3301.0,5158.0,4939.0,3435.0,3469.0,4474.0,5166.0,3066.0,2176.0,44996.0
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",20304.0,SkyWest Airlines Inc.,629.0,4866.0,4473.0,5277.0,2430.0,1331.0,5546.0,6100.0,8014.0,7685.0,7646.0,5175.0,6161.0,64704.0
10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",20304.0,SkyWest Airlines Inc.,673.0,44.0,71.0,106.0,3824.0,5459.0,894.0,40.0,228.0,,599.0,2740.0,2038.0,16043.0
10158,"Atlantic City, NJ: Atlantic City International",20416.0,Spirit Air Lines,694.0,6994.0,6453.0,8467.0,7830.0,20046.0,20293.0,22467.0,21416.0,17482.0,19609.0,12022.0,7313.0,170392.0
10158,"Atlantic City, NJ: Atlantic City International",20416.0,Spirit Air Lines,698.0,4814.0,4420.0,3860.0,3775.0,4205.0,2222.0,371.0,142.0,3171.0,4040.0,3231.0,4767.0,39018.0
10158,"Atlantic City, NJ: Atlantic City International",20416.0,Spirit Air Lines,699.0,35168.0,35847.0,41833.0,36962.0,12746.0,11300.0,13503.0,13117.0,8962.0,10913.0,23756.0,39170.0,283277.0
10165,"Adak Island, AK: Adak",19930.0,Alaska Airlines Inc.,612.0,161.0,89.0,263.0,306.0,132.0,164.0,335.0,163.0,270.0,147.0,255.0,167.0,2452.0
10165,"Adak Island, AK: Adak",19930.0,Alaska Airlines Inc.,614.0,9.0,24.0,24.0,,45.0,174.0,,109.0,55.0,59.0,20.0,52.0,571.0
10170,"Kodiak, AK: Kodiak Airport",19930.0,Alaska Airlines Inc.,612.0,2758.0,2797.0,2871.0,864.0,957.0,2305.0,1874.0,1244.0,1364.0,928.0,3067.0,2890.0,23919.0
