ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10039,A26,AK,Ivotuk Airstrip,Ivotuk,,,,,,,,1.0,,,,,1.0
10056,A43,AK,Trident Basin Seaplane Base,Kodiak Island,16.0,16.0,19.0,19.0,32.0,44.0,50.0,45.0,28.0,18.0,17.0,18.0,322.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,293.0,275.0,452.0,466.0,520.0,537.0,538.0,511.0,336.0,479.0,461.0,444.0,5312.0
10136,ABI,TX,Abilene Regional,Abilene,158.0,121.0,195.0,197.0,218.0,257.0,262.0,261.0,222.0,164.0,166.0,173.0,2394.0
10139,ABL,AK,Ambler River,Ambler,51.0,43.0,53.0,54.0,65.0,69.0,65.0,57.0,62.0,66.0,62.0,47.0,694.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,1074.0,885.0,1331.0,1397.0,1476.0,1760.0,1890.0,1905.0,1850.0,1926.0,1799.0,1777.0,19070.0
10141,ABR,SD,Aberdeen Regional,Aberdeen,62.0,57.0,62.0,60.0,63.0,60.0,62.0,64.0,61.0,71.0,72.0,60.0,754.0
10146,ABY,GA,Southwest Georgia Regional,Albany,87.0,78.0,89.0,86.0,93.0,91.0,94.0,94.0,90.0,92.0,83.0,74.0,1051.0
10154,ACK,MA,Nantucket Memorial,Nantucket,335.0,287.0,390.0,418.0,730.0,1470.0,1753.0,1740.0,1445.0,858.0,611.0,589.0,10626.0
10155,ACT,TX,Waco Regional,Waco,95.0,65.0,132.0,136.0,154.0,142.0,153.0,145.0,119.0,143.0,160.0,158.0,1602.0
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,76.0,71.0,79.0,79.0,94.0,161.0,201.0,214.0,214.0,228.0,212.0,221.0,1850.0
10158,ACY,NJ,Atlantic City International,Atlantic City,146.0,129.0,241.0,293.0,352.0,312.0,311.0,288.0,255.0,248.0,258.0,236.0,3069.0
10165,ADK,AK,Adak,Adak Island,8.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,98.0
10170,ADQ,AK,Kodiak Airport,Kodiak,212.0,219.0,265.0,258.0,304.0,354.0,401.0,416.0,312.0,319.0,350.0,247.0,3657.0
10184,AET,AK,Allakaket Airport,Allakaket,36.0,30.0,48.0,42.0,48.0,53.0,61.0,62.0,46.0,34.0,41.0,30.0,531.0
10185,AEX,LA,Alexandria International,Alexandria,242.0,174.0,263.0,280.0,286.0,279.0,266.0,249.0,221.0,230.0,230.0,241.0,2961.0
10194,AFW,TX,Perot Field Fort Worth Alliance,Dallas/Fort Worth,,1.0,,,,,3.0,2.0,,,,1.0,7.0
10204,AGN,AK,Angoon Seaplane Base,Angoon,42.0,33.0,67.0,73.0,97.0,97.0,94.0,72.0,62.0,61.0,45.0,25.0,768.0
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,323.0,291.0,424.0,440.0,417.0,429.0,466.0,427.0,389.0,412.0,402.0,381.0,4801.0
10216,AHN,GA,Athens/Ben Epps,Athens,,0.0,,,,,,,,2.0,,,2.0
10221,AIA,NE,Alliance Municipal,Alliance,52.0,48.0,52.0,52.0,52.0,51.0,53.0,53.0,52.0,53.0,51.0,54.0,623.0
10225,AIN,AK,Wainwright Airport,Wainwright,92.0,71.0,99.0,109.0,99.0,106.0,108.0,102.0,72.0,119.0,92.0,83.0,1152.0
10237,AKB,AK,Atka Airport,Atka,12.0,10.0,14.0,12.0,12.0,11.0,9.0,7.0,15.0,12.0,11.0,11.0,136.0
10241,AKI,AK,Akiak Airport,Akiak,37.0,33.0,54.0,80.0,90.0,70.0,60.0,85.0,64.0,71.0,86.0,43.0,773.0
10243,AKK,AK,Akhiok Airport,Akhiok,16.0,14.0,13.0,14.0,15.0,16.0,22.0,19.0,18.0,18.0,16.0,9.0,190.0
10245,AKN,AK,King Salmon Airport,King Salmon,156.0,147.0,143.0,170.0,268.0,536.0,793.0,286.0,233.0,205.0,146.0,153.0,3236.0
10247,AKP,AK,Anaktuvuk Pass Airport,Anaktuvuk Pass,56.0,52.0,79.0,71.0,70.0,76.0,73.0,85.0,62.0,73.0,64.0,60.0,821.0
10257,ALB,NY,Albany International,Albany,632.0,582.0,747.0,841.0,910.0,998.0,1150.0,1193.0,1116.0,1208.0,1148.0,1131.0,11656.0
10268,ALO,IA,Waterloo Regional,Waterloo,30.0,26.0,30.0,30.0,30.0,58.0,60.0,56.0,52.0,51.0,58.0,57.0,538.0
10272,ALS,CO,San Luis Valley Regional/Bergman Field,Alamosa,52.0,48.0,48.0,53.0,54.0,51.0,53.0,52.0,52.0,52.0,52.0,52.0,619.0
10275,ALW,WA,Walla Walla Regional,Walla Walla,61.0,50.0,60.0,59.0,74.0,76.0,61.0,61.0,72.0,54.0,54.0,57.0,739.0
10278,ALZ,AK,Alitak Seaplane Base,Lazy Bay,4.0,4.0,4.0,5.0,10.0,13.0,14.0,12.0,7.0,5.0,3.0,5.0,86.0
10279,AMA,TX,Rick Husband Amarillo International,Amarillo,311.0,234.0,349.0,370.0,413.0,429.0,449.0,446.0,439.0,453.0,395.0,360.0,4648.0
10299,ANC,AK,Ted Stevens Anchorage International,Anchorage,1795.0,1678.0,1971.0,1997.0,2479.0,3038.0,3607.0,3474.0,2751.0,2452.0,2219.0,2257.0,29718.0
10304,ANI,AK,Aniak Airport,Aniak,234.0,188.0,233.0,320.0,278.0,290.0,239.0,246.0,257.0,194.0,252.0,163.0,2894.0
10313,ANV,AK,Anvik Airport,Anvik,6.0,8.0,12.0,15.0,23.0,26.0,14.0,19.0,14.0,11.0,8.0,9.0,165.0
10322,AOO,PA,Altoona-Blair County,Altoona,100.0,69.0,114.0,94.0,91.0,97.0,88.0,97.0,100.0,88.0,94.0,91.0,1123.0
10324,AOS,AK,Amook Bay Airport,Amook Bay,4.0,4.0,5.0,4.0,7.0,9.0,9.0,9.0,6.0,4.0,4.0,4.0,69.0
10333,APN,MI,Alpena County Regional,Alpena,52.0,49.0,53.0,52.0,54.0,51.0,52.0,53.0,52.0,53.0,50.0,47.0,618.0
10349,ARC,AK,Arctic Village Airport,Arctic Village,33.0,32.0,44.0,51.0,45.0,72.0,59.0,60.0,53.0,40.0,40.0,37.0,566.0
10361,ART,NY,Watertown International,Watertown,50.0,43.0,52.0,47.0,50.0,56.0,61.0,57.0,49.0,50.0,53.0,50.0,618.0
10372,ASE,CO,Aspen Pitkin County Sardy Field,Aspen,607.0,524.0,690.0,240.0,146.0,640.0,681.0,631.0,419.0,251.0,175.0,476.0,5480.0
10396,ATK,AK,Atqasuk Edward Burnell Sr. Memorial,Atqasuk,60.0,55.0,48.0,68.0,62.0,70.0,64.0,76.0,63.0,67.0,64.0,53.0,750.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,22364.0,19819.0,25974.0,25778.0,27271.0,27560.0,28660.0,27894.0,26643.0,27927.0,26673.0,25978.0,312541.0
10405,ATT,AK,Atmautluak Airport,Atmautluak,77.0,64.0,75.0,130.0,170.0,137.0,122.0,155.0,122.0,154.0,161.0,62.0,1429.0
10408,ATW,WI,Appleton International,Appleton,416.0,413.0,566.0,587.0,605.0,632.0,699.0,879.0,654.0,651.0,541.0,542.0,7185.0
10409,ATY,SD,Watertown Regional,Watertown,52.0,48.0,51.0,51.0,53.0,52.0,104.0,102.0,104.0,105.0,110.0,84.0,916.0
10414,AUG,ME,Augusta State,Augusta/Waterville,88.0,71.0,83.0,90.0,99.0,120.0,119.0,120.0,119.0,100.0,87.0,74.0,1170.0
10416,AUK,AK,Alakanuk Airport,Alakanuk,145.0,194.0,144.0,171.0,180.0,138.0,162.0,165.0,157.0,201.0,194.0,127.0,1978.0
10423,AUS,TX,Austin - Bergstrom International,Austin,2513.0,1948.0,3683.0,3975.0,4654.0,5425.0,6012.0,6012.0,6049.0,6669.0,6895.0,6871.0,60706.0
10431,AVL,NC,Asheville Regional,Asheville,512.0,515.0,779.0,771.0,886.0,1024.0,1158.0,1164.0,917.0,1009.0,723.0,741.0,10199.0
10434,AVP,PA,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,186.0,157.0,240.0,205.0,259.0,235.0,266.0,355.0,268.0,283.0,226.0,264.0,2944.0
10466,AZA,AZ,Phoenix - Mesa Gateway,Phoenix,385.0,503.0,755.0,505.0,450.0,534.0,562.0,418.0,352.0,458.0,486.0,577.0,5985.0
10469,AZO,MI,Kalamazoo/Battle Creek International,Kalamazoo,151.0,136.0,155.0,179.0,177.0,179.0,198.0,180.0,190.0,201.0,204.0,184.0,2134.0
10529,BDL,CT,Bradley International,Hartford,1062.0,930.0,1379.0,1614.0,1687.0,1839.0,2079.0,2074.0,2051.0,2129.0,1960.0,1953.0,20757.0
10535,BDR,CT,Bridgeport Sikorsky,Bridgeport,,,,,,,,,,2.0,,,2.0
10540,BED,MA,Laurence G Hanscom Field,Bedford,,,,,3.0,11.0,17.0,17.0,10.0,6.0,,,64.0
10551,BET,AK,Bethel Airport,Bethel,1669.0,1652.0,1651.0,2644.0,2620.0,2461.0,2278.0,2706.0,2381.0,2441.0,2550.0,1200.0,26253.0
10557,BFD,PA,Bradford Regional,Bradford,90.0,74.0,105.0,103.0,105.0,103.0,105.0,105.0,97.0,104.0,98.0,104.0,1193.0
10558,BFF,NE,Western Neb. Regional/William B. Heilig Field,Scottsbluff,52.0,48.0,49.0,61.0,67.0,66.0,62.0,56.0,57.0,51.0,51.0,52.0,672.0
10559,BFI,WA,Boeing Field/King County International,Seattle,20.0,20.0,2.0,73.0,125.0,163.0,234.0,376.0,174.0,103.0,,67.0,1357.0
10561,BFL,CA,Meadows Field,Bakersfield,175.0,157.0,227.0,219.0,232.0,211.0,218.0,215.0,231.0,248.0,256.0,276.0,2665.0
10562,BFM,AL,Mobile International,Mobile,1.0,,,,,,,,,,,,1.0
10577,BGM,NY,Greater Binghamton/Edwin A. Link Field,Binghamton,31.0,28.0,31.0,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,30.0,364.0
10581,BGR,ME,Bangor International,Bangor,190.0,188.0,283.0,305.0,368.0,605.0,666.0,690.0,565.0,498.0,343.0,336.0,5037.0
10589,BHB,ME,Hancock County-Bar Harbor,Bar Harbor,89.0,77.0,89.0,88.0,93.0,168.0,229.0,238.0,236.0,151.0,91.0,82.0,1631.0
10599,BHM,AL,Birmingham-Shuttlesworth International,Birmingham,887.0,753.0,1071.0,1109.0,1246.0,1287.0,1361.0,1332.0,1291.0,1417.0,1361.0,1262.0,14377.0
10613,BID,RI,Block Island State,Block Island,202.0,142.0,206.0,278.0,432.0,399.0,583.0,536.0,472.0,322.0,256.0,198.0,4026.0
10617,BIH,CA,Bishop Airport,Bishop,,,,,,,,,,,,45.0,45.0
