ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10056,A43,AK,Trident Basin Seaplane Base,Kodiak Island,7.0,15.0,17.0,12.0,30.0,59.0,76.0,68.0,18.0,12.0,18.0,17.0,349.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,30075.0,34583.0,19708.0,1145.0,6689.0,12848.0,13006.0,14797.0,12186.0,17408.0,14445.0,13413.0,190303.0
10136,ABI,TX,Abilene Regional,Abilene,6136.0,5474.0,3274.0,470.0,1623.0,2738.0,4271.0,4020.0,4007.0,4477.0,4777.0,5182.0,46449.0
10139,ABL,AK,Ambler River,Ambler,364.0,251.0,125.0,27.0,61.0,46.0,92.0,61.0,77.0,63.0,62.0,104.0,1333.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,178620.0,172500.0,97093.0,7442.0,22696.0,49583.0,56082.0,55276.0,64992.0,75440.0,57385.0,59193.0,896302.0
10141,ABR,SD,Aberdeen Regional,Aberdeen,2318.0,2293.0,1125.0,159.0,175.0,214.0,1006.0,1249.0,1198.0,1614.0,1674.0,1368.0,14393.0
10146,ABY,GA,Southwest Georgia Regional,Albany,3222.0,3103.0,1817.0,151.0,225.0,345.0,711.0,1296.0,1360.0,1604.0,1693.0,1861.0,17388.0
10154,ACK,MA,Nantucket Memorial,Nantucket,1838.0,1662.0,969.0,171.0,740.0,2758.0,10402.0,12108.0,7815.0,3765.0,1994.0,1437.0,45659.0
10155,ACT,TX,Waco Regional,Waco,3491.0,3926.0,2539.0,175.0,712.0,972.0,2262.0,2414.0,2268.0,2879.0,2821.0,2621.0,27080.0
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,6673.0,6988.0,4057.0,274.0,924.0,1409.0,2521.0,3087.0,3145.0,3174.0,2932.0,2840.0,38024.0
10158,ACY,NJ,Atlantic City International,Atlantic City,46406.0,49264.0,28135.0,718.0,2973.0,12270.0,11649.0,8477.0,6518.0,11850.0,15746.0,17193.0,211199.0
10165,ADK,AK,Adak,Adak Island,182.0,134.0,181.0,105.0,113.0,98.0,112.0,138.0,87.0,86.0,88.0,94.0,1418.0
10170,ADQ,AK,Kodiak Airport,Kodiak,4426.0,4170.0,2861.0,495.0,1138.0,2543.0,3394.0,4541.0,4330.0,3865.0,3581.0,2726.0,38070.0
10184,AET,AK,Allakaket Airport,Allakaket,219.0,224.0,152.0,18.0,38.0,80.0,94.0,124.0,141.0,118.0,69.0,109.0,1386.0
10185,AEX,LA,Alexandria International,Alexandria,9548.0,9241.0,5037.0,1012.0,1556.0,2269.0,4626.0,5964.0,5227.0,5803.0,6478.0,6529.0,63290.0
10194,AFW,TX,Perot Field Fort Worth Alliance,Dallas/Fort Worth,,,,,,,594.0,,39.0,,,,633.0
10204,AGN,AK,Angoon Seaplane Base,Angoon,116.0,140.0,122.0,19.0,52.0,132.0,192.0,143.0,88.0,101.0,72.0,68.0,1245.0
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,23297.0,22596.0,13678.0,2326.0,5730.0,6309.0,11611.0,12861.0,12674.0,13682.0,14206.0,15290.0,154260.0
10221,AIA,NE,Alliance Municipal,Alliance,215.0,205.0,121.0,12.0,34.0,103.0,140.0,145.0,135.0,147.0,162.0,186.0,1605.0
10225,AIN,AK,Wainwright Airport,Wainwright,303.0,230.0,,62.0,164.0,224.0,277.0,238.0,154.0,174.0,126.0,202.0,2154.0
10237,AKB,AK,Atka Airport,Atka,10.0,15.0,5.0,0.0,2.0,14.0,1.0,15.0,5.0,13.0,4.0,11.0,95.0
10241,AKI,AK,Akiak Airport,Akiak,143.0,115.0,42.0,29.0,79.0,68.0,78.0,61.0,67.0,68.0,42.0,42.0,834.0
10243,AKK,AK,Akhiok Airport,Akhiok,33.0,36.0,41.0,2.0,25.0,9.0,16.0,45.0,40.0,20.0,14.0,16.0,297.0
10245,AKN,AK,King Salmon Airport,King Salmon,3445.0,2009.0,101.0,17.0,143.0,1035.0,5130.0,3152.0,2183.0,1493.0,957.0,812.0,20477.0
10247,AKP,AK,Anaktuvuk Pass Airport,Anaktuvuk Pass,251.0,218.0,169.0,33.0,131.0,136.0,140.0,169.0,120.0,141.0,115.0,144.0,1767.0
10257,ALB,NY,Albany International,Albany,112776.0,114783.0,60638.0,3561.0,13704.0,28959.0,30058.0,38616.0,27360.0,34068.0,28456.0,28703.0,521682.0
10268,ALO,IA,Waterloo Regional,Waterloo,1402.0,1325.0,787.0,37.0,124.0,352.0,795.0,479.0,474.0,329.0,363.0,503.0,6970.0
10272,ALS,CO,San Luis Valley Regional/Bergman Field,Alamosa,532.0,422.0,269.0,54.0,196.0,327.0,475.0,508.0,519.0,464.0,401.0,518.0,4685.0
10275,ALW,WA,Walla Walla Regional,Walla Walla,3534.0,3422.0,1758.0,111.0,1514.0,1217.0,941.0,1323.0,1334.0,1846.0,1631.0,1547.0,20178.0
