ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,437600,190303,356294,422995
10136,ABI,TX,Abilene Regional,Abilene,86769,46449,79810,73914
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,2695239,896302,1720416,2365700
10141,ABR,SD,Aberdeen Regional,Aberdeen,28782,14393,21842,21768
10146,ABY,GA,Southwest Georgia Regional,Albany,41460,17388,32015,35055
10154,ACK,MA,Nantucket Memorial,Nantucket,131488,45659,132551,136471
10155,ACT,TX,Waco Regional,Waco,61964,27080,46946,54104
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,86137,38024,94733,118983
10158,ACY,NJ,Atlantic City International,Atlantic City,522612,211199,398687,412315
10185,AEX,LA,Alexandria International,Alexandria,118811,63290,97783,96702
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,331208,154260,252324,271928
10257,ALB,NY,Albany International,Albany,1506439,521682,969081,1283156
10268,ALO,IA,Waterloo Regional,Waterloo,22302,6970,12794,14903
10275,ALW,WA,Walla Walla Regional,Walla Walla,49259,20178,39138,33814
10279,AMA,TX,Rick Husband Amarillo International,Amarillo,366280,177997,318661,379905
10333,APN,MI,Alpena County Regional,Alpena,12439,6437,11792,13866
10361,ART,NY,Watertown International,Watertown,22466,11563,19823,20243
10372,ASE,CO,Aspen Pitkin County Sardy Field,Aspen,307146,183805,247784,299068
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,47613013,19030860,34059380,40719099
10408,ATW,WI,Appleton International,Appleton,385743,183970,351726,415816
10409,ATY,SD,Watertown Regional,Watertown,11681,7225,18419,15401
10423,AUS,TX,Austin - Bergstrom International,Austin,8409446,3161264,6687160,10186327
10431,AVL,NC,Asheville Regional,Asheville,811194,361611,722368,919699
10434,AVP,PA,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,289167,110458,156933,189697
10466,AZA,AZ,Phoenix - Mesa Gateway,Phoenix,864462,565972,764530,911885
10469,AZO,MI,Kalamazoo/Battle Creek International,Kalamazoo,150263,52634,78936,71557
10529,BDL,CT,Bradley International,Hartford,3261524,1145589,2252346,2819290
10558,BFF,NE,Western Neb. Regional/William B. Heilig Field,Scottsbluff,24290,9554,16441,24273
10559,BFI,WA,Boeing Field/King County International,Seattle,11394,4078,9247,9785
10561,BFL,CA,Meadows Field,Bakersfield,129680,83925,131673,141934
10562,BFM,AL,Mobile International,Mobile,21434,4111,56,0
10577,BGM,NY,Greater Binghamton/Edwin A. Link Field,Binghamton,38114,8492,10159,13409
10581,BGR,ME,Bangor International,Bangor,309470,124198,290335,351167
10599,BHM,AL,Birmingham-Shuttlesworth International,Birmingham,1555698,637321,1104090,1352689
10613,BID,RI,Block Island State,Block Island,16845,12343,16294,14190
10617,BIH,CA,Bishop Airport,Bishop,0,0,1157,10747
10620,BIL,MT,Billings Logan International,Billings,464458,241668,380918,387814
10627,BIS,ND,Bismarck Municipal,Bismarck/Mandan,310137,150784,213822,242419
10631,BJI,MN,Bemidji Regional,Bemidji,29341,15951,25390,25264
10643,BKG,MO,Branson Airport,Branson,27383,7066,10096,5999
10654,BKW,WV,Raleigh County Memorial,Beckley,11392,7423,18884,17586
10666,BLI,WA,Bellingham International,Bellingham,329722,93347,155230,320487
10676,BLV,IL,Scott AFB MidAmerica St Louis,Belleville,152900,108388,160128,163259
10685,BMI,IL,Central Il Regional Airport at Bloomington,Bloomington/Normal,208581,89754,158402,173499
10693,BNA,TN,Nashville International,Nashville,8975918,4093358,7733619,9854277
10713,BOI,ID,Boise Air Terminal,Boise,2079281,996215,1822907,2239699
10721,BOS,MA,Logan International,Boston,16788125,5256846,9877115,14499807
10728,BPT,TX,Jack Brooks Regional,Beaumont/Port Arthur,29056,15864,21697,24699
