ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,total_2019,total_2020,total_2021,total_2022
10005,05A,AK,Little Squaw Airport,Little Squaw,2.0,0.0,0.0,0.0
10006,06A,AK,Kizhuyak Bay,Kizhuyak,0.0,0.0,0.0,1.0
10011,GCW,AZ,Grand Canyon West,Peach Springs,0.0,0.0,0.0,58.0
10039,A26,AK,Ivotuk Airstrip,Ivotuk,0.0,0.0,1.0,0.0
10042,A29,AK,Kiluda Bay Airport,Kiluda Bay,2.0,0.0,0.0,0.0
10056,A43,AK,Trident Basin Seaplane Base,Kodiak Island,242.0,315.0,322.0,289.0
10063,A50,AK,Big Bay Airport,Big Bay,1.0,0.0,0.0,0.0
10135,ABE,PA,Lehigh Valley International,Allentown/Bethlehem/Easton,6505.0,3782.0,5312.0,5091.0
10136,ABI,TX,Abilene Regional,Abilene,2312.0,1695.0,2394.0,1924.0
10139,ABL,AK,Ambler River,Ambler,1067.0,556.0,694.0,698.0
10140,ABQ,NM,Albuquerque International Sunport,Albuquerque,27807.0,16098.0,19070.0,22334.0
10141,ABR,SD,Aberdeen Regional,Aberdeen,740.0,690.0,754.0,700.0
10146,ABY,GA,Southwest Georgia Regional,Albany,1013.0,748.0,1051.0,961.0
10154,ACK,MA,Nantucket Memorial,Nantucket,12759.0,7424.0,10626.0,8589.0
10155,ACT,TX,Waco Regional,Waco,1777.0,1074.0,1602.0,1689.0
10157,ACV,CA,California Redwood Coast Humboldt County,Arcata/Eureka,1930.0,1136.0,1850.0,2122.0
10158,ACY,NJ,Atlantic City International,Atlantic City,3118.0,1912.0,3069.0,3177.0
10165,ADK,AK,Adak,Adak Island,101.0,102.0,98.0,104.0
10170,ADQ,AK,Kodiak Airport,Kodiak,4358.0,3049.0,3657.0,3896.0
10172,ADW,MD,Joint Base Andrews,Camp Springs,1.0,0.0,0.0,0.0
10184,AET,AK,Allakaket Airport,Allakaket,628.0,465.0,531.0,526.0
10185,AEX,LA,Alexandria International,Alexandria,3232.0,2233.0,2961.0,2291.0
10194,AFW,TX,Perot Field Fort Worth Alliance,Dallas/Fort Worth,15.0,6.0,7.0,17.0
10204,AGN,AK,Angoon Seaplane Base,Angoon,986.0,617.0,768.0,792.0
10208,AGS,GA,Augusta Regional at Bush Field,Augusta,5337.0,3676.0,4801.0,4530.0
10216,AHN,GA,Athens/Ben Epps,Athens,4.0,0.0,2.0,0.0
10221,AIA,NE,Alliance Municipal,Alliance,694.0,628.0,623.0,624.0
10225,AIN,AK,Wainwright Airport,Wainwright,1286.0,1084.0,1152.0,1198.0
10237,AKB,AK,Atka Airport,Atka,125.0,124.0,136.0,166.0
10241,AKI,AK,Akiak Airport,Akiak,1267.0,639.0,773.0,736.0
10243,AKK,AK,Akhiok Airport,Akhiok,337.0,221.0,190.0,208.0
10245,AKN,AK,King Salmon Airport,King Salmon,4221.0,2517.0,3236.0,3483.0
