ORIGIN_STATE_ABR,2019,2020,2021,2022,pct_change
AL,45023,26476,33010,33117,-26.4
AR,33924,19200,24357,26904,-20.7
AZ,210785,141451,189789,193242,-8.3
CA,873740,468139,592272,728490,-16.6
CO,324900,224132,305206,313781,-3.4
CT,30208,16018,21139,26642,-11.8
FL,600696,391602,573454,588184,-2.1
GA,424586,263694,340860,342676,-19.3
IA,31649,20064,25316,24726,-21.9
ID,33553,24847,34196,34373,2.4
IL,499918,289036,368566,385356,-22.9
IN,72063,43822,53482,55447,-23.1
KS,17049,11470,13503,14302,-16.1
KY,93714,51857,66345,70884,-24.4
LA,85438,48367,59553,69708,-18.4
MA,195497,99003,128168,167914,-14.1
MD,110824,72663,78129,86785,-21.7
ME,20960,11305,17191,17218,-17.9
MI,223576,139322,168632,160881,-28.0
MN,181964,110457,138460,135456,-25.6
MO,154427,93833,105410,119748,-22.5
MS,16776,11388,15208,15507,-7.6
MT,35210,28961,38851,31230,-11.3
NC,373173,238871,307266,302669,-18.9
ND,21872,14627,17884,16815,-23.1
NE,33823,21221,26360,26693,-21.1
NH,13339,8099,8644,9778,-26.7
NJ,160431,76376,104518,145896,-9.1
NM,33719,19543,23374,27279,-19.1
NV,193253,120536,162093,194732,0.8
NY,408316,173925,240192,386155,-5.4
OH,127992,68516,84214,92773,-27.5
OK,46281,28338,35850,39089,-15.5
OR,115112,69205,81899,85068,-26.1
PA,244453,138148,163459,167209,-31.6
RI,28102,16282,20709,24359,-13.3
SC,71719,43180,68523,68312,-4.8
SD,16481,11886,16806,14037,-14.8
TN,149275,95549,123119,137031,-8.2
TX,802279,517064,685483,725693,-9.5
UT,126579,94978,125789,115321,-8.9
VA,310846,159899,214461,279878,-10.0
VT,11734,5546,7142,9115,-22.3
WA,243112,159403,205056,214531,-11.8
WI,70811,43208,55306,53745,-24.1
WV,9344,6441,7608,7192,-23.0
WY,12508,8906,12856,10681,-14.6
