ORIGIN_STATE_ABR,2019,2020,2021,2022,pct_change
AL,2873981,1186094,1969854,2397697,-16.6
AR,2124343,867603,1518415,1915735,-9.8
AZ,24553513,11731432,20845332,23772293,-3.2
CA,99311543,34893656,62068482,85002816,-14.4
CO,34454188,17073298,30258886,34989483,1.6
CT,3310166,1156956,2281906,3170980,-4.2
FL,76790479,37221702,70165364,80183817,4.4
GA,49593494,19855763,35850704,42928665,-13.4
IA,2210344,980961,1656412,2043029,-7.6
ID,2480125,1203104,2226616,2720342,9.7
IL,45379353,17741266,32416317,38358944,-15.5
IN,5731243,2511956,4325085,5069416,-11.5
KS,1035368,458469,757609,942900,-8.9
KY,7107851,2803195,5083222,6143506,-13.6
LA,8174424,3240901,5008491,7005806,-14.3
MA,17102422,5353059,10117032,14807293,-13.4
MD,13017503,5381714,9093451,10838064,-16.7
ME,1411302,533430,1154736,1348324,-4.5
MI,19353798,7833908,13441631,15384282,-20.5
MN,18029984,6833065,12122024,14459545,-19.8
MO,14458315,5686983,9557288,12218015,-15.5
MS,938152,403748,776748,964355,2.8
MT,2374102,1250086,2382730,2610787,10.0
NC,32369722,16248320,26616448,29885348,-7.7
ND,1206123,581316,902629,1044494,-13.4
NE,2774622,1165076,2053926,2450546,-11.7
NH,926381,341631,525943,709789,-23.4
NJ,17075307,6446779,11924565,16238531,-4.9
NM,2931454,981960,1880096,2575785,-12.1
NV,25146570,11231852,20516295,26338407,4.7
NY,37352472,10881700,22041540,35360619,-5.3
OH,10542560,4186744,7306065,8817037,-16.4
OK,3807420,1662660,2903870,3544348,-6.9
OR,11019027,4095269,7098705,8786260,-20.3
PA,20641571,8055088,13691165,16310726,-21.0
RI,1979837,673001,1192682,1596016,-19.4
SC,5799794,2378491,5153601,6088748,5.0
SD,978491,500991,896482,991602,1.3
TN,13332014,6013483,11052681,13882037,4.1
TX,81583380,38243896,66788984,80280562,-1.6
UT,12642217,6021184,10908397,12268764,-3.0
VA,24515118,8683728,16221769,23002776,-6.2
VT,685973,211978,382020,601002,-12.4
WA,25629732,10246956,19059419,23144320,-9.7
WI,5553056,2130021,3774504,4460176,-19.7
WV,396058,177003,306020,333935,-15.7
WY,708086,400413,701771,626308,-11.5
