ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,total_2019,total_2022,total_50s_2019,pct_50_2019,total_50s_2022,pct_50_2022
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",395557,314165,37002,9.354404043,17658,5.620613372
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",392793,291702,122896,31.28772661,67913,23.28163674
11292,CO,DEN,"Denver, CO: Denver International",288617,277694,57367,19.87651455,39491,14.22104907
11298,TX,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",302386,272740,32428,10.72404146,21377,7.837867566
12892,CA,LAX,"Los Angeles, CA: Los Angeles International",249333,191194,9584,3.843855406,4170,2.181030785
12889,NV,LAS,"Las Vegas, NV: Harry Reid International",169233,174475,727,0.429585246,2,0.001146296
11057,NC,CLT,"Charlotte, NC: Charlotte Douglas International",253084,211216,32298,12.7617708,24050,11.386448
14747,WA,SEA,"Seattle, WA: Seattle/Tacoma International",191481,170993,11,0.005744695,3,0.001754458
14107,AZ,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",179345,166309,1694,0.944548217,648,0.389636159
13204,FL,MCO,"Orlando, FL: Orlando International",144337,145614,9,0.006235407,0,0
14771,CA,SFO,"San Francisco, CA: San Francisco International",173150,129112,17171,9.916835114,10409,8.061992689
13487,MN,MSP,"Minneapolis, MN: Minneapolis-St Paul International",171588,128527,24063,14.02370795,12401,9.648556334
10721,MA,BOS,"Boston, MA: Logan International",168616,149074,1875,1.111994117,1468,0.984745831
12266,TX,IAH,"Houston, TX: George Bush Intercontinental/Houston",178839,147799,36306,20.30094107,28256,19.11785601
11433,MI,DTW,"Detroit, MI: Detroit Metro Wayne County",175364,125239,27421,15.63661869,12162,9.711032506
11618,NJ,EWR,"Newark, NJ: Newark Liberty International",154377,140548,32639,21.14239816,15,0.01067251
12953,NY,LGA,"New York, NY: LaGuardia",167083,162197,19388,11.60381367,7,0.00431574
12478,NY,JFK,"New York, NY: John F. Kennedy International",125900,132508,10370,8.23669579,3,0.002264014
14100,PA,PHL,"Philadelphia, PA: Philadelphia International",153660,102226,42007,27.33762853,15914,15.56746816
11697,FL,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",100867,84328,4,0.003965618,0,0
10821,MD,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",107760,85362,5097,4.729955457,598,0.70054591
14869,UT,SLC,"Salt Lake City, UT: Salt Lake City International",121186,109164,14323,11.819022,6896,6.317100876
14679,CA,SAN,"San Diego, CA: San Diego International",98073,84594,885,0.902389037,122,0.144218266
11278,VA,DCA,"Washington, DC: Ronald Reagan Washington National",139960,141620,22679,16.2039154,1,0.000706115
13303,FL,MIA,"Miami, FL: Miami International",88522,104355,12012,13.56950814,0,0
15304,FL,TPA,"Tampa, FL: Tampa International",80691,74771,73,0.090468578,0,0
13232,IL,MDW,"Chicago, IL: Chicago Midway International",81023,74349,21,0.025918566,3,0.004035024
14057,OR,PDX,"Portland, OR: Portland International",88227,59640,17,0.019268478,0,0
10693,TN,BNA,"Nashville, TN: Nashville International",85202,88787,3918,4.598483604,1572,1.770529469
10423,TX,AUS,"Austin, TX: Austin - Bergstrom International",67047,87491,171,0.255044968,23,0.026288418
11259,TX,DAL,"Dallas, TX: Dallas Love Field",72512,64115,1,0.001379082,0,0
15016,MO,STL,"St. Louis, MO: St Louis Lambert International",82886,64739,7777,9.382766692,712,1.099800738
12264,VA,IAD,"Washington, DC: Washington Dulles International",92585,75817,27779,30.00378031,14321,18.88890354
14831,CA,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",69815,52300,27,0.038673637,8,0.015296367
13495,LA,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",57575,48052,27,0.046895354,11,0.022891867
12191,TX,HOU,"Houston, TX: William P Hobby",58673,49666,324,0.552213113,28,0.056376596
14492,NC,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",69320,52886,4754,6.858049625,14,0.026472034
14893,CA,SMF,"Sacramento, CA: Sacramento International",57415,52795,1957,3.408516938,946,1.791836348
13796,CA,OAK,"Oakland, CA: Metro Oakland International",54425,47125,1014,1.863114378,385,0.816976127
13198,MO,MCI,"Kansas City, MO: Kansas City International",55040,43743,761,1.382630814,34,0.077726722
14908,CA,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",43977,45978,1,0.002273916,0,0
14683,TX,SAT,"San Antonio, TX: San Antonio International",42359,34468,98,0.231355792,13,0.037716143
14635,FL,RSW,"Fort Myers, FL: Southwest Florida International",35213,36063,27,0.076676228,0,0
11042,OH,CLE,"Cleveland, OH: Cleveland-Hopkins International",51455,38427,10347,20.10883296,775,2.016811096
12339,IN,IND,"Indianapolis, IN: Indianapolis International",51266,41388,7057,13.76545859,1284,3.102348507
14122,PA,PIT,"Pittsburgh, PA: Pittsburgh International",57617,43820,2693,4.673967753,331,0.755362848
11193,KY,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",51086,37659,10410,20.37740281,1803,4.787700151
11066,OH,CMH,"Columbus, OH: John Glenn Columbus International",49448,38874,5407,10.9347193,821,2.111951433
12451,FL,JAX,"Jacksonville, FL: Jacksonville International",35091,28934,3191,9.093499758,341,1.178544273
14027,FL,PBI,"West Palm Beach/Palm Beach, FL: Palm Beach International",26806,24498,10,0.037305081,1,0.004081966
13342,WI,MKE,"Milwaukee, WI: General Mitchell International",34769,26621,5490,15.78992781,2517,9.454941587
10529,CT,BDL,"Hartford, CT: Bradley International",29137,23788,1509,5.17898205,107,0.449806625
10800,CA,BUR,"Burbank, CA: Bob Hope",31457,31716,1767,5.617191722,784,2.471938454
10140,NM,ABQ,"Albuquerque, NM: Albuquerque International Sunport",27807,22334,790,2.841011256,870,3.895406107
13891,CA,ONT,"Ontario, CA: Ontario International",23030,23354,1285,5.57967868,752,3.220005138
13871,NE,OMA,"Omaha, NE: Eppley Airfield",27104,21511,1444,5.327626919,379,1.761889266
10792,NY,BUF,"Buffalo, NY: Buffalo Niagara International",27938,20400,4596,16.45071229,1110,5.441176471
10994,SC,CHS,"Charleston, SC: Charleston AFB/International",27095,26505,2368,8.739619856,364,1.373325788
13244,TN,MEM,"Memphis, TN: Memphis International",28364,21787,4253,14.99435905,757,3.474549043
14524,VA,RIC,"Richmond, VA: Richmond International",28816,23900,8353,28.98736813,2401,10.0460251
13851,OK,OKC,"Oklahoma City, OK: Will Rogers World",25834,20994,1962,7.594642719,1958,9.326474231
14570,NV,RNO,"Reno, NV: Reno/Tahoe International",23348,19896,1368,5.859174233,1715,8.61982308
10713,ID,BOI,"Boise, ID: Boise Air Terminal",25687,26065,1724,6.711566162,1148,4.404373681
14730,KY,SDF,"Louisville, KY: Louisville Muhammad Ali International",27957,22381,5455,19.51210788,1617,7.224878245
13931,VA,ORF,"Norfolk, VA: Norfolk International",26628,23076,8703,32.68364128,738,3.198127925
11884,WA,GEG,"Spokane, WA: Spokane International",22053,19818,681,3.088015236,133,0.671107074
14307,RI,PVD,"Providence, RI: Rhode Island Tf Green International",19860,16915,2995,15.08056395,864,5.107892403
15376,AZ,TUS,"Tucson, AZ: Tucson International",19905,16211,1756,8.821904044,1181,7.285176732
11986,MI,GRR,"Grand Rapids, MI: Gerald R. Ford International",21422,16526,4400,20.53963215,1458,8.822461576
