ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,339,Airbus Industrie A330-900,,,5.0,2.0,2.0,16.0,16.0,13.0,3.0,,,2.0,59.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,359,Airbus Industrie A350-900,64.0,80.0,83.0,32.0,17.0,15.0,21.0,62.0,50.0,91.0,49.0,47.0,611.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21618.0,"Southern Airways Express, dba Mokulele Airlines",415,Cessna C208B/Grand Caravan,,,,,,70.0,74.0,69.0,73.0,64.0,65.0,128.0,543.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21599.0,Boutique Air,458,Beechcraft Super King Air,21.0,22.0,,,,,,,,,,,43.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",21599.0,Boutique Air,479,Pilatus PC-12,41.0,46.0,56.0,57.0,59.0,,,,,,,,259.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,608,Boeing 717-200,2705.0,2362.0,3326.0,3524.0,3892.0,3948.0,3907.0,4000.0,3634.0,3934.0,3681.0,3760.0,42673.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19393.0,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,1493.0,1362.0,1543.0,1366.0,1490.0,1456.0,1522.0,1520.0,1573.0,1709.0,1109.0,954.0,17097.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977.0,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,25.0,21.0,29.0,78.0,30.0,83.0,66.0,109.0,98.0,100.0,25.0,74.0,738.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19393.0,Southwest Airlines Co.,614,Boeing 737-800,756.0,799.0,839.0,1015.0,1071.0,1052.0,1093.0,1068.0,955.0,1083.0,1401.0,1320.0,12452.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19790.0,Delta Air Lines Inc.,614,Boeing 737-800,989.0,947.0,1387.0,1245.0,846.0,932.0,856.0,831.0,1143.0,1238.0,1428.0,1321.0,13163.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19805.0,American Airlines Inc.,614,Boeing 737-800,129.0,83.0,159.0,28.0,33.0,65.0,31.0,28.0,49.0,62.0,31.0,49.0,747.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19930.0,Alaska Airlines Inc.,614,Boeing 737-800,22.0,32.0,15.0,13.0,21.0,34.0,40.0,36.0,7.0,15.0,14.0,2.0,251.0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19977.0,United Air Lines Inc.,614,Boeing 737-800,17.0,18.0,87.0,32.0,73.0,67.0,80.0,43.0,39.0,100.0,93.0,93.0,742.0
