AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,AIRCRAFT_FAMILY,2019,2020,2021,2022
19790.0,Delta Air Lines Inc.,339,Airbus Industrie A330-900,Airbus A330,14.0,6.0,509.0,454.0
19790.0,Delta Air Lines Inc.,359,Airbus Industrie A350-900,Airbus A350,29.0,61.0,763.0,1307.0
21253.0,"Multi-Aero, Inc. d/b/a Air Choice One",415,Cessna C208B/Grand Caravan,Single turboprop,6376.0,5852.0,2832.0,911.0
22081.0,"Tailwind Air, LLC",415,Cessna C208B/Grand Caravan,Single turboprop,0.0,0.0,11.0,82.0
21618.0,"Southern Airways Express, dba Mokulele Airlines",415,Cessna C208B/Grand Caravan,Single turboprop,0.0,0.0,0.0,13084.0
21599.0,Boutique Air,479,Pilatus PC-12,Single turboprop,17537.0,13640.0,7324.0,4644.0
21894.0,"ADVANCED AIR, LLC",479,Pilatus PC-12,Single turboprop,1406.0,739.0,623.0,1142.0
21080.0,Tradewind Aviation,479,Pilatus PC-12,Single turboprop,1351.0,1278.0,1245.0,1671.0
20330.0,Ryan Air f/k/a Arctic Transportation,479,Pilatus PC-12,Single turboprop,0.0,1.0,0.0,0.0
20272.0,Kenmore Air Harbor,479,Pilatus PC-12,Single turboprop,0.0,0.0,8.0,3.0
21618.0,"Southern Airways Express, dba Mokulele Airlines",479,Pilatus PC-12,Single turboprop,0.0,0.0,0.0,340.0
20500.0,GoJet Airlines LLC d/b/a United Express,530,Bombardier CRJ550,Bombardier CRJ,4609.0,32057.0,58149.0,50833.0
19790.0,Delta Air Lines Inc.,608,Boeing 717-200,Boeing 717,152285.0,86741.0,87244.0,120106.0
19393.0,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,Boeing 737,999642.0,602378.0,638413.0,764065.0
19790.0,Delta Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,Boeing 737,9030.0,4925.0,0.0,0.0
19977.0,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,Boeing 737,35948.0,16804.0,26838.0,36690.0
19930.0,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,Boeing 737,3845.0,1901.0,2526.0,5287.0
20422.0,Sun Country Airlines d/b/a MN Airlines,612,Boeing 737-700/700LR/Max 7,Boeing 737,1585.0,1.0,502.0,257.0
20207.0,TEM Enterprises dba  Avelo Airlines,612,Boeing 737-700/700LR/Max 7,Boeing 737,0.0,0.0,678.0,5812.0
19393.0,Southwest Airlines Co.,614,Boeing 737-800,Boeing 737,314230.0,268698.0,343869.0,426812.0
19790.0,Delta Air Lines Inc.,614,Boeing 737-800,Boeing 737,82578.0,59043.0,68916.0,74278.0
19805.0,American Airlines Inc.,614,Boeing 737-800,Boeing 737,334423.0,192289.0,238223.0,285250.0
19930.0,Alaska Airlines Inc.,614,Boeing 737-800,Boeing 737,43626.0,17550.0,32933.0,38602.0
19977.0,United Air Lines Inc.,614,Boeing 737-800,Boeing 737,124566.0,57964.0,95813.0,127182.0
20422.0,Sun Country Airlines d/b/a MN Airlines,614,Boeing 737-800,Boeing 737,19300.0,11424.0,16389.0,19488.0
20207.0,TEM Enterprises dba  Avelo Airlines,614,Boeing 737-800,Boeing 737,0.0,0.0,2314.0,4102.0
19790.0,Delta Air Lines Inc.,622,Boeing 757-200,Boeing 757,92138.0,49505.0,63678.0,87439.0
19977.0,United Air Lines Inc.,622,Boeing 757-200,Boeing 757,33499.0,10483.0,11623.0,14048.0
19805.0,American Airlines Inc.,622,Boeing 757-200,Boeing 757,17900.0,5022.0,0.0,0.0
19790.0,Delta Air Lines Inc.,623,Boeing 757-300,Boeing 757,16392.0,9612.0,15717.0,15679.0
19977.0,United Air Lines Inc.,623,Boeing 757-300,Boeing 757,16656.0,9035.0,13761.0,11016.0
19790.0,Delta Air Lines Inc.,624,Boeing 767-400/ER,Boeing 767,2772.0,1974.0,11751.0,3391.0
19977.0,United Air Lines Inc.,624,Boeing 767-400/ER,Boeing 767,1021.0,472.0,1023.0,1797.0
19790.0,Delta Air Lines Inc.,626,Boeing 767-300/300ER,Boeing 767,6244.0,7756.0,15619.0,15105.0
19805.0,American Airlines Inc.,626,Boeing 767-300/300ER,Boeing 767,5796.0,1540.0,0.0,0.0
19977.0,United Air Lines Inc.,626,Boeing 767-300/300ER,Boeing 767,2231.0,2110.0,7517.0,3208.0
19690.0,Hawaiian Airlines Inc.,626,Boeing 767-300/300ER,Boeing 767,14.0,0.0,0.0,0.0
21492.0,"Eastern Airlines f/k/a Dynamic Airways, LLC",626,Boeing 767-300/300ER,Boeing 767,0.0,1.0,0.0,2.0
19790.0,Delta Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,Boeing 777,753.0,349.0,0.0,0.0
19977.0,United Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,Boeing 777,13230.0,6148.0,5448.0,12857.0
19805.0,American Airlines Inc.,627,Boeing 777-200ER/200LR/233LR,Boeing 777,4633.0,3095.0,11074.0,3591.0
20304.0,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,Bombardier CRJ,350402.0,197118.0,204866.0,173686.0
20363.0,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,Bombardier CRJ,69315.0,52174.0,78167.0,56793.0
20397.0,PSA Airlines Inc.,629,Canadair RJ-200ER /RJ-440,Bombardier CRJ,60268.0,7815.0,0.0,0.0
20366.0,ExpressJet Airlines LLC d/b/a aha!,629,Canadair RJ-200ER /RJ-440,Bombardier CRJ,7867.0,0.0,0.0,0.0
20046.0,Air Wisconsin Airlines Corp,629,Canadair RJ-200ER /RJ-440,Bombardier CRJ,103036.0,50443.0,86241.0,64601.0
20378.0,Mesa Airlines Inc.,629,Canadair RJ-200ER /RJ-440,Bombardier CRJ,250.0,2.0,0.0,0.0
