ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",339,Airbus Industrie A330-900,1,1,44,59
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",359,Airbus Industrie A350-900,8,18,255,611
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",415,Cessna C208B/Grand Caravan,259,307,118,543
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",479,Pilatus PC-12,1351,1188,590,259
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",530,Bombardier CRJ550,1,0,0,0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",608,Boeing 717-200,30388,34749,36975,42673
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",612,Boeing 737-700/700LR/Max 7,35437,23967,21578,17835
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",614,Boeing 737-800,23173,20095,19704,27355
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",622,Boeing 757-200,27286,14671,20800,35484
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",623,Boeing 757-300,3541,2904,3819,3764
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",624,Boeing 767-400/ER,326,852,3429,729
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",626,Boeing 767-300/300ER,1198,1888,4776,3416
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",627,Boeing 777-200ER/200LR/233LR,378,170,0,0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",629,Canadair RJ-200ER /RJ-440,36992,21583,16170,17653
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",631,Canadair RJ-700,4461,1331,601,2495
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",634,Boeing 737-900,4,2,0,4
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",638,Canadair CRJ 900,27233,26589,41430,14365
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,64142,11042,0,0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",656,McDonnell Douglas MD-90,24781,4511,0,0
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",673,Embraer ERJ-175,7083,5609,14771,8620
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",675,Embraer-145,10,2,1,5
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",677,Embraer-Emb-170,1690,1131,680,454
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",678,Embraer 190,2646,1047,1966,649
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",687,Airbus Industrie A330-300/333,365,457,1706,1048
10397,GA,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",694,Airbus Industrie A320-100/200,22217,13425,21560,29769
