ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019_1Q,2019_2Q,2019_3Q,2019_4Q,2020_1Q,2020_2Q,2020_3Q,2020_4Q,2021_1Q,2021_2Q,2021_3Q,2021_4Q,2022_1Q,2022_2Q,2022_3Q,2022_4Q
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,339,Airbus Industrie A330-900,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,26.0,8.0,5.0,20.0,32.0,2.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,359,Airbus Industrie A350-900,5.0,1.0,2.0,0.0,1.0,0.0,10.0,7.0,19.0,59.0,38.0,139.0,227.0,64.0,133.0,187.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,21253.0,"Multi-Aero, Inc. d/b/a Air Choice One",415,Cessna C208B/Grand Caravan,77.0,76.0,79.0,27.0,75.0,76.0,78.0,78.0,66.0,52.0,0.0,0.0,,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,21599.0,Boutique Air,479,Pilatus PC-12,165.0,373.0,399.0,414.0,377.0,373.0,280.0,158.0,154.0,156.0,141.0,139.0,143.0,116.0,0.0,0.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20500.0,GoJet Airlines LLC d/b/a United Express,530,Bombardier CRJ550,0.0,0.0,0.0,1.0,,,,,,,,,,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,608,Boeing 717-200,6174.0,7307.0,8470.0,8437.0,11431.0,5313.0,9729.0,8276.0,8532.0,9061.0,10103.0,9279.0,8393.0,11364.0,11541.0,11375.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19393.0,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,8028.0,8007.0,7432.0,6935.0,6982.0,3348.0,5550.0,5457.0,4570.0,5380.0,5626.0,5488.0,4398.0,4312.0,4615.0,3772.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,857.0,1360.0,1189.0,1041.0,1387.0,322.0,763.0,0.0,,,,,,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977.0,United Air Lines Inc.,612,Boeing 737-700/700LR/Max 7,87.0,204.0,137.0,159.0,95.0,2.0,5.0,55.0,18.0,78.0,218.0,200.0,75.0,191.0,273.0,199.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19930.0,Alaska Airlines Inc.,612,Boeing 737-700/700LR/Max 7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19393.0,Southwest Airlines Co.,614,Boeing 737-800,1810.0,2014.0,2286.0,2308.0,1945.0,1275.0,1621.0,1082.0,1440.0,2117.0,2062.0,1986.0,2394.0,3138.0,3116.0,3804.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,614,Boeing 737-800,1306.0,1901.0,3139.0,2876.0,1548.0,1516.0,4264.0,4229.0,2854.0,2077.0,2552.0,2216.0,3323.0,3023.0,2830.0,3987.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19805.0,American Airlines Inc.,614,Boeing 737-800,1148.0,1023.0,1322.0,1376.0,1032.0,228.0,728.0,308.0,456.0,608.0,342.0,344.0,371.0,126.0,108.0,142.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19930.0,Alaska Airlines Inc.,614,Boeing 737-800,13.0,5.0,61.0,20.0,11.0,4.0,15.0,10.0,8.0,63.0,68.0,83.0,69.0,68.0,83.0,31.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977.0,United Air Lines Inc.,614,Boeing 737-800,105.0,106.0,191.0,163.0,90.0,1.0,57.0,130.0,65.0,145.0,154.0,64.0,122.0,172.0,162.0,286.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,622,Boeing 757-200,5680.0,6442.0,6959.0,8204.0,6155.0,1190.0,3304.0,4021.0,3236.0,4812.0,5854.0,6896.0,6575.0,7538.0,11106.0,10264.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977.0,United Air Lines Inc.,622,Boeing 757-200,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,623,Boeing 757-300,751.0,1212.0,851.0,723.0,450.0,38.0,1135.0,1281.0,1344.0,1161.0,854.0,460.0,359.0,1070.0,1474.0,861.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977.0,United Air Lines Inc.,623,Boeing 757-300,4.0,0.0,0.0,0.0,,,,,,,,,,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,624,Boeing 767-400/ER,92.0,103.0,95.0,36.0,21.0,6.0,231.0,594.0,633.0,1039.0,1133.0,624.0,421.0,113.0,40.0,155.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,626,Boeing 767-300/300ER,386.0,277.0,140.0,395.0,457.0,81.0,372.0,978.0,716.0,1328.0,1350.0,1381.0,1308.0,926.0,579.0,603.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19790.0,Delta Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,107.0,63.0,97.0,106.0,154.0,1.0,10.0,5.0,,,,,,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,19977.0,United Air Lines Inc.,627,Boeing 777-200ER/200LR/233LR,5.0,0.0,0.0,0.0,,,,,,,,,,,,
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20304.0,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,5853.0,6714.0,6418.0,6138.0,5558.0,738.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,150.0,375.0,0.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20363.0,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,2762.0,2898.0,3108.0,3064.0,3132.0,1786.0,4785.0,5573.0,3352.0,4119.0,3829.0,4867.0,4953.0,5406.0,4342.0,2426.0
10397,ATL,GA,Hartsfield-Jackson Atlanta International,Atlanta,more than 5 million,no,loss,-20.6,at least -20%,20397.0,PSA Airlines Inc.,629,Canadair RJ-200ER /RJ-440,3.0,1.0,0.0,9.0,,,,,,,,,,,,
