AIRCRAFT_TYPE,Description,AIRLINE_ID,UNIQUE_CARRIER_NAME,2019,2020,2021,2022
30,Cessna 180,20272.0,Kenmore Air Harbor,3.0,5.0,0.0,1.0
35,Cessna C206/207/209/210 Stationair,21636.0,Gem Air LLC,71.0,44.0,47.0,0.0
36,Cessna 172 Skyhawk,21636.0,Gem Air LLC,3.0,6.0,4.0,0.0
40,De Havilland DHC2 Beaver,20272.0,Kenmore Air Harbor,977.0,1100.0,1343.0,1483.0
40,De Havilland DHC2 Beaver,20289.0,Friday Harbor Seaplanes,1653.0,949.0,2796.0,2109.0
42,De Havilland DHC3 Otter,20272.0,Kenmore Air Harbor,10372.0,3854.0,10710.0,8801.0
79,Piper PA-32 (Cherokee 6),20273.0,New England Airlines Inc.,69.0,5.0,254.0,13.0
91,Float/Amphib Turbine,20272.0,Kenmore Air Harbor,192.0,457.0,1016.0,858.0
125,Cessna C-402/402A/402B,20253.0,Cape Air,258555.0,122843.0,219933.0,204583.0
131,Pilatus Britten-Norman BN2/A Islander,20273.0,New England Airlines Inc.,35036.0,25058.0,32942.0,28596.0
131,Pilatus Britten-Norman BN2/A Islander,21636.0,Gem Air LLC,0.0,18.0,67.0,0.0
133,Beech 65/65A-80/65B-80 (Queen Air),20257.0,Bemidji Airlines,0.0,0.0,0.0,0.0
194,Piper PA-31 (Navajo)/T-1020,21636.0,Gem Air LLC,65.0,58.0,87.0,0.0
194,Piper PA-31 (Navajo)/T-1020,21835.0,"Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",0.0,0.0,60.0,0.0
195,Piper PA-34/39 (Twin Commanche),21636.0,Gem Air LLC,11.0,8.0,7.0,0.0
339,Airbus Industrie A330-900,19790.0,Delta Air Lines Inc.,3653.0,394.0,103222.0,105090.0
359,Airbus Industrie A350-900,19790.0,Delta Air Lines Inc.,7368.0,7298.0,180879.0,332546.0
403,Beech 99 Airliner,20257.0,Bemidji Airlines,0.0,0.0,0.0,0.0
404,Beech C99,20257.0,Bemidji Airlines,0.0,0.0,0.0,0.0
415,Cessna C208B/Grand Caravan,21253.0,"Multi-Aero, Inc. d/b/a Air Choice One",33247.0,15314.0,8772.0,3711.0
415,Cessna C208B/Grand Caravan,21618.0,"Southern Airways Express, dba Mokulele Airlines",0.0,0.0,0.0,55967.0
415,Cessna C208B/Grand Caravan,22081.0,"Tailwind Air, LLC",0.0,0.0,33.0,226.0
416,Cessna 208 Caravan,20272.0,Kenmore Air Harbor,21038.0,7437.0,16597.0,17938.0
416,Cessna 208 Caravan,21242.0,"Mokulele Flight Services, Inc.",5195.0,1125.0,0.0,0.0
416,Cessna 208 Caravan,21618.0,"Southern Airways Express, dba Mokulele Airlines",56706.0,24858.0,39276.0,2696.0
416,Cessna 208 Caravan,21636.0,Gem Air LLC,49.0,59.0,79.0,0.0
416,Cessna 208 Caravan,21743.0,Tropic Ocean Airways LLC,0.0,0.0,3.0,1.0
441,Aerospatiale/Aeritalia ATR-42,20401.0,Silver Airways,58992.0,122866.0,213796.0,211480.0
442,Aerospatiale/Aeritalia ATR-72,20401.0,Silver Airways,3613.0,39287.0,110633.0,153359.0
449,Dornier 328,21894.0,"ADVANCED AIR, LLC",0.0,0.0,2124.0,7892.0
455,Fairchild Metro 23,21879.0,Key Lime Air Corporation,1518.0,1463.0,3227.0,6726.0
456,Saab-Fairchild 340/B,20401.0,Silver Airways,292101.0,17466.0,2840.0,0.0
458,Beechcraft Super King Air,21599.0,Boutique Air,9693.0,6500.0,20507.0,4619.0
458,Beechcraft Super King Air,21618.0,"Southern Airways Express, dba Mokulele Airlines",0.0,0.0,0.0,61.0
458,Beechcraft Super King Air,21894.0,"ADVANCED AIR, LLC",6728.0,2800.0,4907.0,8041.0
458,Beechcraft Super King Air,21964.0,"Rectrix Aviation, Inc.",18595.0,0.0,0.0,0.0
461,Embraer EMB-120 Brasilia,21477.0,Via Airlines d/b/a Sterling Airways,21.0,0.0,0.0,0.0
469,British Aerospace Jetstream 31,21635.0,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,6613.0,0.0,0.0,0.0
479,Pilatus PC-12,20272.0,Kenmore Air Harbor,0.0,0.0,33.0,14.0
479,Pilatus PC-12,20330.0,Ryan Air f/k/a Arctic Transportation,0.0,0.0,0.0,0.0
479,Pilatus PC-12,21080.0,Tradewind Aviation,7552.0,7016.0,7154.0,9219.0
479,Pilatus PC-12,21599.0,Boutique Air,89990.0,41232.0,34409.0,23167.0
479,Pilatus PC-12,21618.0,"Southern Airways Express, dba Mokulele Airlines",0.0,0.0,0.0,1817.0
479,Pilatus PC-12,21894.0,"ADVANCED AIR, LLC",5752.0,2093.0,2163.0,3634.0
482,De Havilland DHC8-400 Dash-8,19687.0,Horizon Air,4304168.0,1895843.0,3027432.0,2514855.0
530,Bombardier CRJ550,20500.0,GoJet Airlines LLC d/b/a United Express,184317.0,943541.0,2334266.0,1885700.0
608,Boeing 717-200,19790.0,Delta Air Lines Inc.,14145091.0,5350487.0,7184153.0,11203498.0
609,Bombardier BD-100-1A10 Challenger 300,21894.0,"ADVANCED AIR, LLC",0.0,0.0,0.0,3.0
612,Boeing 737-700/700LR/Max 7,19393.0,Southwest Airlines Co.,115090132.0,44629841.0,70794405.0,87324157.0
612,Boeing 737-700/700LR/Max 7,19790.0,Delta Air Lines Inc.,973693.0,364613.0,0.0,0.0
612,Boeing 737-700/700LR/Max 7,19930.0,Alaska Airlines Inc.,375918.0,122929.0,218952.0,531719.0
612,Boeing 737-700/700LR/Max 7,19977.0,United Air Lines Inc.,3750030.0,1316818.0,2644670.0,3857232.0
612,Boeing 737-700/700LR/Max 7,20207.0,TEM Enterprises dba  Avelo Airlines,0.0,0.0,73597.0,688433.0
612,Boeing 737-700/700LR/Max 7,20422.0,Sun Country Airlines d/b/a MN Airlines,163897.0,42.0,49979.0,28211.0
614,Boeing 737-800,19393.0,Southwest Airlines Co.,44845055.0,23012303.0,46341840.0,60646200.0
