AIRCRAFT_TYPE,Description,2019,2020,2021,2022
30,Cessna 180,3.0,5.0,0.0,1.0
35,Cessna C206/207/209/210 Stationair,71.0,44.0,47.0,0.0
36,Cessna 172 Skyhawk,3.0,6.0,4.0,0.0
40,De Havilland DHC2 Beaver,2630.0,2049.0,4139.0,3592.0
42,De Havilland DHC3 Otter,10372.0,3854.0,10710.0,8801.0
79,Piper PA-32 (Cherokee 6),69.0,5.0,254.0,13.0
91,Float/Amphib Turbine,192.0,457.0,1016.0,858.0
125,Cessna C-402/402A/402B,258555.0,122843.0,219933.0,204583.0
131,Pilatus Britten-Norman BN2/A Islander,35036.0,25076.0,33009.0,28596.0
133,Beech 65/65A-80/65B-80 (Queen Air),0.0,0.0,0.0,0.0
194,Piper PA-31 (Navajo)/T-1020,65.0,58.0,147.0,0.0
195,Piper PA-34/39 (Twin Commanche),11.0,8.0,7.0,0.0
339,Airbus Industrie A330-900,3653.0,394.0,103222.0,105090.0
359,Airbus Industrie A350-900,7368.0,7298.0,180879.0,332546.0
403,Beech 99 Airliner,0.0,0.0,0.0,0.0
404,Beech C99,0.0,0.0,0.0,0.0
415,Cessna C208B/Grand Caravan,33247.0,15314.0,8805.0,59904.0
416,Cessna 208 Caravan,82988.0,33479.0,55955.0,20635.0
441,Aerospatiale/Aeritalia ATR-42,58992.0,122866.0,213796.0,211480.0
442,Aerospatiale/Aeritalia ATR-72,3613.0,39287.0,110633.0,153359.0
449,Dornier 328,0.0,0.0,2124.0,7892.0
455,Fairchild Metro 23,1518.0,1463.0,3227.0,6726.0
456,Saab-Fairchild 340/B,292101.0,17466.0,2840.0,0.0
458,Beechcraft Super King Air,35016.0,9300.0,25414.0,12721.0
461,Embraer EMB-120 Brasilia,21.0,0.0,0.0,0.0
469,British Aerospace Jetstream 31,6613.0,0.0,0.0,0.0
479,Pilatus PC-12,103294.0,50341.0,43759.0,37851.0
482,De Havilland DHC8-400 Dash-8,4304168.0,1895843.0,3027432.0,2514855.0
530,Bombardier CRJ550,184317.0,943541.0,2334266.0,1885700.0
608,Boeing 717-200,14145091.0,5350487.0,7184153.0,11203498.0
609,Bombardier BD-100-1A10 Challenger 300,0.0,0.0,0.0,3.0
612,Boeing 737-700/700LR/Max 7,120353670.0,46434243.0,73781603.0,92429752.0
614,Boeing 737-800,127803844.0,57232325.0,106171185.0,138334006.0
617,Boeing 737-400,0.0,0.0,0.0,121.0
622,Boeing 757-200,23562005.0,7361120.0,11089375.0,16915842.0
623,Boeing 757-300,6812998.0,2716850.0,5318574.0,5406721.0
624,Boeing 767-400/ER,800191.0,299712.0,2413478.0,1037159.0
625,Boeing 767-200/ER/EM,0.0,185.0,0.0,0.0
626,Boeing 767-300/300ER,2729419.0,1480462.0,3919329.0,3413702.0
627,Boeing 777-200ER/200LR/233LR,5202489.0,1807907.0,3743622.0,4410192.0
628,Canadair RJ-100/RJ-100ER,2271.0,0.0,0.0,0.0
629,Canadair RJ-200ER /RJ-440,23121694.0,7964861.0,12855621.0,11493446.0
631,Canadair RJ-700,20696295.0,8665284.0,13314395.0,12580592.0
632,Dornier 328 Jet,51250.0,12063.0,26519.0,44836.0
634,Boeing 737-900,3858825.0,827042.0,1276450.0,3299461.0
637,Boeing 777-300/300ER/333ER,268824.0,255673.0,1913577.0,1520233.0
638,Canadair CRJ 900,30267036.0,15168252.0,24617919.0,24195366.0
655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,19548002.0,2086282.0,0.0,0.0
656,McDonnell Douglas MD-90,7326899.0,1002040.0,0.0,0.0
658,Bombardier BD-700 Global Express,21.0,0.0,0.0,0.0
669,Bombardier Challenger 604/605,2621.0,346.0,215.0,143.0
673,Embraer ERJ-175,46017458.0,24978245.0,48012418.0,49377189.0
674,Embraer-135,156967.0,74971.0,102574.0,129865.0
675,Embraer-145,18930267.0,6909226.0,10448147.0,10190067.0
676,Embraer-140,3132943.0,1043623.0,132551.0,0.0
677,Embraer-Emb-170,5236684.0,1961516.0,2654782.0,2811527.0
678,Embraer 190,10524688.0,2173782.0,4469579.0,6120718.0
685,Cessna 510 Mustang/560XL Citation Excel,3.0,0.0,0.0,0.0
687,Airbus Industrie A330-300/333,531095.0,276603.0,1010924.0,645643.0
694,Airbus Industrie A320-100/200,83655251.0,35248321.0,58622569.0,74780737.0
696,Airbus Industrie A330-200,1812179.0,534498.0,1598266.0,1690952.0
698,Airbus Industrie A319,49704918.0,21674728.0,31288650.0,42024956.0
699,Airbus Industrie A321/Lr,80924345.0,35640019.0,68784045.0,86182541.0
721,Airbus Industrie A321-200n,2301216.0,2145960.0,6917119.0,12010826.0
722,Airbus Industrie A320-200n,12706594.0,9522529.0,18617195.0,25589686.0
723,A200-100 BD-500-1A10,1826517.0,1478027.0,3422483.0,5375541.0
724,A220-300 BD-500-1A11,0.0,11497.0,1161566.0,3411732.0
748,Embraer EMB195,0.0,0.0,113955.0,319422.0
837,Boeing 787-10 Dreamliner,589828.0,276505.0,317941.0,749564.0
838,Boeing B737 Max 800,1707529.0,853.0,8748744.0,13254596.0
839,Boeing B737 Max 900,294138.0,0.0,4455089.0,9110850.0
887,B787-800 Dreamliner,873548.0,462096.0,1017335.0,683047.0
888,Boeing 737-900ER,57858416.0,20938561.0,41772516.0,51146410.0
889,B787-900 Dreamliner,582569.0,454198.0,1301831.0,1128085.0
